source_workbook,source_sheet,source_row,source_cell,reference_name,name_as_listed,marketing_header,technical_header,thickness_mm,option_as_listed,notes_as_listed,interpretation
Assortment confirmation list with names 260618_1.xlsx,12mm,43,H43,Nero Marquina Extra,Nero Marquina Block 26,Honed,Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,43,J43,Nero Marquina Extra,Nero Marquina Block 26,Satin,Satin,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,45,F45,Crystal - White Onyx,Crystal Bianco Block 50,Polished,Polished,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,45,H45,Crystal - White Onyx,Crystal Bianco Block 50,Honed,Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,46,F46,Crystal - Pure Light Green Onyx,Onyx Halo Block 44,Polished,Polished,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,46,H46,Crystal - Pure Light Green Onyx,Onyx Halo Block 44,Honed,Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,48,I48,Travertino Classico,Travertino Classico Block 55,,Structured Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,48,L48,Travertino Classico,Travertino Classico Block 55,Organic Matte,Structured matt,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,48,N48,Travertino Classico,Travertino Classico Block 55,Grained,Structured matt,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,49,I49,Travertine Titanium,Travertino Titanium Block 39,,Structured Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,49,L49,Travertine Titanium,Travertino Titanium Block 39,Organic Matte,Structured matt,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,49,N49,Travertine Titanium,Travertino Titanium Block 39,Grained,Structured matt,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,51,I51,Pietra Serena Dark Grey,Serena Flint,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,51,L51,Pietra Serena Dark Grey,Serena Flint,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,52,I52,Pietra Serena Warm Grey,Serena Crater,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,52,L52,Pietra Serena Warm Grey,Serena Crater,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,53,I53,Pietra Serena Light Grey,Serena Shale,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,53,L53,Pietra Serena Light Grey,Serena Shale,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,54,I54,Halila Limestone Crosscut ivory,Lithoform Dunes - Crosscut,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,54,L54,Halila Limestone Crosscut ivory,Lithoform Dunes - Crosscut,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,54,M54,Halila Limestone Crosscut ivory,Lithoform Dunes - Crosscut,Vintage,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,55,I55,Halila Limestone Crosscut Beige,Lithoform Coast - Crosscut,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,55,L55,Halila Limestone Crosscut Beige,Lithoform Coast - Crosscut,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,55,M55,Halila Limestone Crosscut Beige,Lithoform Coast - Crosscut,Vintage,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,56,I56,Halila Limestone Crosscut Grey,Lithoform Vista - Crosscut,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,56,L56,Halila Limestone Crosscut Grey,Lithoform Vista - Crosscut,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,56,M56,Halila Limestone Crosscut Grey,Lithoform Vista - Crosscut,Vintage,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,57,I57,Halila Limestone Viencut ivory,Lithoform Dunes - Veincut,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,57,L57,Halila Limestone Viencut ivory,Lithoform Dunes - Veincut,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,58,I58,Halila Limestone Viencut Beige,Lithoform Coast - Veincut,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,58,L58,Halila Limestone Viencut Beige,Lithoform Coast - Veincut,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,59,I59,Halila Limestone Viencut Grey,Lithoform Vista - Veincut,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,59,L59,Halila Limestone Viencut Grey,Lithoform Vista - Veincut,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,61,I61,Ceppo type stone OS-1140,Ceppo di Gre Block 71,,Structured Honed,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,61,L61,Ceppo type stone OS-1140,Ceppo di Gre Block 71,Organic Matte,Structured matt,12,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,62,I62,Terrazzo OS-0949 (2 faces),Terrazzo Delicato Block 40,,Structured Honed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,62,L62,Terrazzo OS-0949 (2 faces),Terrazzo Delicato Block 40,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,64,L64,Argilla Cement Warm Grey,Publica Thunder,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,64,O64,Argilla Cement Warm Grey,Publica Thunder,Patinated,Structured Brushed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,65,L65,Argilla Cement Ivory,Publica Horizon,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,65,O65,Argilla Cement Ivory,Publica Horizon,Patinated,Structured Brushed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,66,L66,Argilla Cement beige,Publica Terrain,Organic Matte,Structured matt,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,66,O66,Argilla Cement beige,Publica Terrain,Patinated,Structured Brushed,12,x,Random 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,68,G68,Unicolor White (Unglazed),Monoforma Moonlight,,Unglazed Polished,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,68,K68,Unicolor White (Unglazed),Monoforma Moonlight,Silk,Structured matt,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,69,G69,Unicolor Ivory (Unglazed),Monoforma Oasis,,Unglazed Polished,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,69,K69,Unicolor Ivory (Unglazed),Monoforma Oasis,Silk,Structured matt,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,70,G70,Unicolor Light Grey (Unglazed),Monoforma Storm,,Unglazed Polished,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,70,K70,Unicolor Light Grey (Unglazed),Monoforma Storm,Silk,Structured matt,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,71,G71,Unicolor Black (Unglazed),Monoforma Silhouette,,Unglazed Polished,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,12mm,71,K71,Unicolor Black (Unglazed),Monoforma Silhouette,Silk,Structured matt,12,x,Unglazed,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,3,F3,Arabescato Corchia,Arabescato Corchia Block 59,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,3,H3,Arabescato Corchia,Arabescato Corchia Block 59,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,4,F4,Arabescato Vagli,Arabescato Vagli Block 34,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,4,H4,Arabescato Vagli,Arabescato Vagli Block 34,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,5,F5,Statuario,Statuario Block 16,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,5,H5,Statuario,Statuario Block 16,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,6,F6,Statuario,Statuario Block 17,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,6,H6,Statuario,Statuario Block 17,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,7,F7,Bianco Gioia,Bianco Gioia Block 19,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,7,H7,Bianco Gioia,Bianco Gioia Block 19,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,8,F8,Montania Grey,Montagna Grey Block 11,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,8,H8,Montania Grey,Montagna Grey Block 11,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,9,F9,Calacatta Corchia,Calacatta Corchia Block 43,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,9,H9,Calacatta Corchia,Calacatta Corchia Block 43,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,10,F10,Calacatta Carrera,Calacatta Carrara Block 23,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,10,H10,Calacatta Carrera,Calacatta Carrara Block 23,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,11,F11,Ariel Bianco,Ariel Bianco Block 33,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,11,H11,Ariel Bianco,Ariel Bianco Block 33,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,12,F12,Panda,Panda Block 22,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,12,H12,Panda,Panda Block 22,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,13,F13,Calacatta Paonazzo,Calacatta Oro Block 12,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,13,H13,Calacatta Paonazzo,Calacatta Oro Block 12,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,14,F14,Calacatta Cremo,Calacatta Cremo Block 31,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,14,H14,Calacatta Cremo,Calacatta Cremo Block 31,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,15,F15,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",Bianco Stratura Block 18,Polished,Polished,6,x,Random 6 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,15,H15,"Crystal - White Macaubas - Color adjust to white background, grey or grey/beige veins?",Bianco Stratura Block 18,Honed,Honed,6,x,Random 6 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,16,F16,Calacatta Nero Borghini GRA-0001 GRA-0001-2,Colorado Lincoln Block 81,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,16,H16,Calacatta Nero Borghini GRA-0001 GRA-0001-2,Colorado Lincoln Block 81,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,17,F17,Fusion White,Fusion White Block 27,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,17,H17,Fusion White,Fusion White Block 27,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,18,F18,Gemma Bronze,Gemma Bronze Block 45,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,18,H18,Gemma Bronze,Gemma Bronze Block 45,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,19,F19,Calacatta Picasso,Calacatta Picasso Block 32,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,19,H19,Calacatta Picasso,Calacatta Picasso Block 32,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,20,F20,Calacatta Viola,Calacatta Viola Block 41,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,20,H20,Calacatta Viola,Calacatta Viola Block 41,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,21,F21,Calacatta Borghini,Calacatta Borghini Block 48,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,21,H21,Calacatta Borghini,Calacatta Borghini Block 48,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,23,F23,Cristallo,Cristallo Block 13,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,23,H23,Cristallo,Cristallo Block 13,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,24,F24,Taj Mahal,Taj Mahal Block 36,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,24,H24,Taj Mahal,Taj Mahal Block 36,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,25,F25,Atlantic Ocean,Atlantic Ocean Block 24,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,25,H25,Atlantic Ocean,Atlantic Ocean Block 24,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,26,F26,Marina White,Marina White Block 46,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,26,H26,Marina White,Marina White Block 46,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,27,F27,Super White,Super White Block 28,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,27,H27,Super White,Super White Block 28,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,28,H28,Grigio Quarzo,Grigio Quarzo Block 21,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,30,F30,Crystal - French Vanilla,French Vanilla Block 35,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,30,H30,Crystal - French Vanilla,French Vanilla Block 35,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,31,F31,Pietra Imperiale (grey version),Forge Eleganza Block 20,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,31,H31,Pietra Imperiale (grey version),Forge Eleganza Block 20,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,32,F32,Montagnia Jade,Montagna Jade Block 14,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,32,H32,Montagnia Jade,Montagna Jade Block 14,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,33,F33,Verdi Alpi,Verdi Alpi Block 57,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,33,H33,Verdi Alpi,Verdi Alpi Block 57,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,34,F34,Elazıg Cherry,Tuscano Burgundy,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,35,F35,Foresta Vecchia,Macchia Vecchia Block 42,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,35,H35,Foresta Vecchia,Macchia Vecchia Block 42,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,36,F36,Foresta,Foresta Block 56,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,36,H36,Foresta,Foresta Block 56,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,37,F37,Pietra Imperiale,Pietra Imperiale Block 30,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,37,H37,Pietra Imperiale,Pietra Imperiale Block 30,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,38,F38,Oro Noir,Oro Noir Block 25,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,38,H38,Oro Noir,Oro Noir Block 25,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,39,F39,Bianco Dior,Bianco Dior Block 38,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,39,H39,Bianco Dior,Bianco Dior Block 38,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,40,F40,Sahara Noir,Sahara Noir Block 15,Polished,Polished,6,x,Random 6 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,40,H40,Sahara Noir,Sahara Noir Block 15,Honed,Honed,6,x,Random 6 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,41,F41,Armani Noir,Armani Noir Block 17,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,41,H41,Armani Noir,Armani Noir Block 17,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,42,F42,Calacatta Noir,Calacatta Noir Block 34,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,42,H42,Calacatta Noir,Calacatta Noir Block 34,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,43,F43,Nero Marquina Extra,Nero Marquina Block 26,Polished,Polished,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,43,H43,Nero Marquina Extra,Nero Marquina Block 26,Honed,Honed,6,x,Bookmatch 2 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,45,F45,Crystal - White Onyx,Crystal Bianco Block 50,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,45,H45,Crystal - White Onyx,Crystal Bianco Block 50,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,46,F46,Crystal - Pure Light Green Onyx,Onyx Halo Block 44,Polished,Polished,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,46,H46,Crystal - Pure Light Green Onyx,Onyx Halo Block 44,Honed,Honed,6,x,Random 8 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,48,I48,Travertino Classico,Travertino Classico Block 55,,Structured Honed,6,x,Random 6 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,48,L48,Travertino Classico,Travertino Classico Block 55,Organic Matte,Structured matt,6,x,Random 6 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
Assortment confirmation list with names 260618_1.xlsx,6mm,48,N48,Travertino Classico,Travertino Classico Block 55,Grained,Structured matt,6,x,Random 6 faces,"assortment option; not SKU, stock, lifecycle or Merch priority"
